Reaction_ID,Reaction_Name,kcat,kcat_MW
rxn03147_c0,1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)_c0,0.7024,94.04894325
rxn00838_c0,IMP:L-aspartate ligase (GDP-forming)_c0,4.9053,194.9636026
rxn00800_c0_num1,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_c0",,
rxn03137_c0,10-Formyltetrahydrofolate:5'-phosphoribosyl-5-amino-4-imidazolecarboxamide formyltransferase_c0,1.1329,73.36765244
rxn00907_c0,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase_c0",50.8675,3041.235791
rxn00790_c0_reverse,5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)_c0,23.7953,1579.740959
rxn02937_c0,2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)_c0,4.7234,468.3269093
rxn03084_c0,5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)_c0,12.9456,343.987886
rxn00097_c0,ATP:AMP phosphotransferase_c0,,
rxn03538_c0,R05223_c0,,
rxn00139_c0_reverse,AMP:diphosphate phospho-D-ribosyltransferase_c0,12.1444,742.9901049
rxn03136_c0,1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole AMP-lyase_c0,,
rxn05217_c0,TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_c0,,
rxn08073_c0_num1,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm)_c0,31.6398,4159.097498
rxn08076_c0_num1,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm)_c0,,
rxn09678_c0,TRANS-RXNBWI-115637.ce.maizeexp.GLN_c0,,
rxn02465_c0_reverse,N-acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating)_c0,42.4321,2196.194936
rxn00851_c0,D-alanine:D-alanine ligase (ADP-forming)_c0,0.3844,17.96036604
rxn00283_c0,alanine racemase_c0,,
rxn00506_c0,Acetaldehyde:NAD+ oxidoreductase_c0,11.7953,261.3464439
rxn01286_c0,D-Glyceraldehyde:NAD+ oxidoreductase_c0,17.4512,386.6632525
rxn05303_c0,TRANS-RXNBWI-115637.ce.maizeexp.ARG_c0,,
rxn00002_c0,urea-1-carboxylate amidohydrolase_c0,23.035,1749.578717
rxn12634_c0_num1,methionyl aminopeptidase_c0,,
rxn12637_c0_num1,RXN0-6987.c_c0,36.0676,4860.882842
rxn00791_c0_reverse,N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase_c0,0.9687,49.4065811
rxn00405_c0,L-arginine carboxy-lyase (agmatine-forming)_c0,21.5505,735.6262129
rxn01740_c0,Shikimate:NADP+ 3-oxidoreductase_c0,5.4274,326.6138974
rxn01255_c0,5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming)_c0,,
rxn01332_c0,"Phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)_c0",54.1215,5320.85242
rxn01256_c0_num1,Chorismate pyruvatemutase_c0,,
rxn01643_c0_reverse,L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)_c0,330.0,29713.63172
rxn00416_c0,L-aspartate:L-glutamine amido-ligase (AMP-forming)_c0,91.5425,4703.04908
rxn01018_c0_num1,carbamoyl-phosphate:L-aspartate carbamoyltransferase_c0,15.2918,345.0892478
rxn00337_c0,ATP:L-aspartate 4-phosphotransferase_c0,53.3088,2225.699261
rxn00262_c0,L-Aspartic acid:oxygen oxidoreductase (deaminating)_c0,9.1694,318.3007274
rxn00260_c0_num1,L-Aspartate:2-oxoglutarate aminotransferase_c0,53.3088,719.1809571
rxn00647_c0,L-Cysteine:2-oxoglutarate aminotransferase_c0,8.1157,109.4876811
rxn09690_c0,TRANS-RXNBWI-115637.ce.maizeexp.CYS_c0,,
rxn05244_c0,TRANS-RXNBWI-115637.ce.maizeexp.ILE_c0,,
rxn05669_c0,TRANS-RXNBWI-115637.ce.maizeexp.VAL_c0,,
rxn00806_c0,L-Leucine:2-oxoglutarate aminotransferase_c0,8.1157,725.7937546
rxn01575_c0,L-Isoleucine:2-oxoglutarate aminotransferase_c0,4.4063,394.0590486
rxn00137_c0,"Adenosine 3',5'-bisphosphate 3'-phosphohydrolase_c0",,
rxn00792_c0,biotin:CoA ligase (AMP-forming)_c0,1.4882,60.46122574
rxn05514_c0_reverse,calcium transport in/out via proton antiporter_c0,,
rxn05029_c0,ATP:cobinamide Cobeta-adenosyltransferase_c0,,
rxn08192_c0,ABC-5-RXN.cp_c0,33.9992,465.4911432
rxn00414_c0,"hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)_c0",31.852,369.29757
rxn05516_c0_num1,Cadmium-translocating P-type ATPase_c0,,
rxn00148_c0_reverse,ATP:pyruvate 2-O-phosphotransferase_c0,75.9944,2644.994879
rxn01368_c0,Cytidine aminohydrolase_c0,145.3582,3205.702575
rxn05518_c0_num1,cellobiose transport via PEP:Pyr PTS_c0,,
rxn05347_c0,Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0,,
rxn05348_c0,Decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0,14.4164,1203.055629
rxn00256_c0_reverse,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)_c0,2100.0,144896.7547
rxn08233_c0,Chloride/proton antiport_c0,,
rxn05467_c0,CO2 transporter via diffusion_c0,,
rxn08240_c0_reverse,cobalt (Co+2) transport out via proton antiport (periplasm)_c0,,
rxn00412_c0,UTP:L-glutamine amido-ligase (ADP-forming)_c0,62.2349,935.1938919
rxn05528_c0_num1,Copper-transporting ATPase_c0,,
rxn00566_c0,L-Cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming)_c0,40.2732,1698.841822
rxn00649_c0,O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase_c0,2.491,141.383787
rxn00742_c0,L-cystathionine cysteine-lyase (deaminating; 2-oxobutanoate-forming)_c0,,
rxn01127_c0,ATP:dAMP phosphotransferase_c0,,
rxn05040_c0,"D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)_c0",,
rxn01672_c0,dCTP aminohydrolase_c0,,
rxn01800_c0,Deoxycytidine aminohydrolase_c0,0.4118,9.081760234
rxn05327_c0_reverse,"Decanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)_c0",2.688,235.6524146
rxn01509_c0,ATP:dGMP phosphotransferase_c0,,
rxn00686_c0,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase_c0",4.6235,385.1656301
rxn01603_c0,"7,8-dihydropteroate:L-glutamate ligase (ADP-forming)_c0",109.2607,8608.855726
rxn02504_c0,"2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase_c0",,
rxn01465_c0,(S)-dihydroorotate amidohydrolase_c0,0.0277,1.113929952
rxn02475_c0,"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase_c0",0.2333,21.15764529
rxn02200_c0_num1,"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0",0.4803,40.01190703
rxn02213_c0,3-Dehydroquinate hydro-lyase_c0,,
rxn02212_c0,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase (cyclyzing)_c0,,
rxn01626_c0,"5,6-Dihydrouracil amidohydrolase_c0",8.5566,608.2549056
rxn00100_c0,ATP:dephospho-CoA 3'-phosphotransferase_c0,,
rxn00784_c0,2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming)_c0,,
rxn09686_c0,TRANS-RXNAVI-26378.ce.brachyexp.TTP_c0,,
rxn01519_c0,dUTP nucleotidohydrolase_c0,,
rxn03958_c0,1-Deoxy-D-xylulose-5-phosphate isomeroreductase_c0,0.502,43.13153771
rxn05324_c0_reverse,"Dodecanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)_c0",,
rxn05322_c0_reverse,"Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)_c0",2.113,185.2431369
rxn05325_c0_reverse,"Octanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)_c0",1.754,153.770214
rxn00912_c0,"5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase_c0",,
rxn00459_c0,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0,,
rxn06556_c0,Dodecanoyl-[acyl-carrier-protein] hydrolase_c0,1.1907,52.35782473
rxn04791_c0,S-(hydroxymethyl)glutathione synthase_c0,,
rxn08433_c0,R08158_c0,0.0277,1.218032876
rxn00549_c0,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase_c0",0.1558,7.761761826
rxn08475_c0,iron (II) transport via diffusion (extracellular to periplasm)_c0,,
rxn05195_c0_num1,ATP phosphohydrolase (ferric-ion-transporting)_c0,,
rxn00299_c0,"GTP 7,8-8,9-dihydrolase_c0",,
rxn02201_c0_num1,"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0",17.7061,1475.025665
rxn01602_c0,dihydrofolate:NADP+ oxidoreductase_c0,5.1996,433.158259
rxn08535_c0_num1,Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)_c0,2.7138,260.7418763
rxn05560_c0_num1,D-fructose transport via PEP:Pyr PTS_c0,31.0757,597.6768307
rxn00817_c0,melibiose galactohydrolase_c0,5.1836,113.2551491
rxn01653_c0,5-Formyltetrahydrofolate cyclo-ligase (ADP-forming)_c0,3.1137,535.607441
rxn00690_c0,Formate:tetrahydrofolate ligase (ADP-forming)_c0,24.5813,756.725152
rxn00799_c0_num1,(S)-malate hydro-lyase (fumarate-forming)_c0,,
rxn00993_c0,4-fumarylacetoacetate fumarylhydrolase_c0,4.996,556.305561
rxn03638_c0,Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0,12.8512,313.7640668
rxn01675_c0,dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase_c0,2.4427,140.4761728
rxn01629_c0,"(S)-4-Amino-5-oxopentanoate 4,5-aminomutase_c0",,
rxn02374_c0,R03314_c0,,
rxn00194_c0,L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)_c0,2.9028,197.9154309
rxn00701_c0,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase_c0,10.9894,347.4454912
rxn00808_c0,ATP:D-galactose 1-phosphotransferase_c0,2.9525,77.30108475
rxn00355_c0,UTP:alpha-D-galactose-1-phosphate uridylyltransferase_c0,2.7138,85.8006419
rxn05567_c0,Galactitol transport via PEP:Pyr PTS_c0,3.0371,58.41233834
rxn05569_c0,D-glucosamine transport via PEP:Pyr PTS_c0,7.9156,152.240198
rxn09672_c0,TRANS-RXNBWI-115637.ce.maizeexp.MET_c0,,
rxn05307_c0,TRANS-RXNBWI-115637.ce.maizeexp.SER_c0,,
rxn05582_c0,TRANS-RXNBWI-115637.ce.maizeexp.GLY_c0,27.5614,2122.710884
rxn00781_c0_num1,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0,22.2528,544.5135294
rxn03004_c0,10-Formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase_c0,7.8599,1244.097617
rxn00555_c0,L-glutamine:D-fructose-6-phosphate isomerase (deaminating)_c0,1.0375,28.75469588
rxn00350_c0_reverse,glutathione gamma-glutamylaminopeptidase_c0,,
rxn09562_c0,Guanylate kinase_c0,,
rxn05226_c0_num1,D-glucose transport via PEP:Pyr PTS_c0,8.6377,499.8016053
rxn00695_c0,ATP:alpha-D-glucose-1-phosphate adenylyltransferase_c0,125.8992,1331.961593
rxn00187_c0_num1,L-Glutamate:ammonia ligase (ADP-forming)_c0,9.0159,426.7130771
rxn01834_c0,(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing)_c0,,
rxn01802_c0,"Glutaryl-CoA:(acceptor) 2,3-oxidoreductase (decarboxylating)_c0",0.6853,60.07909216
rxn00184_c0_num1,L-Glutamate:NADP+ oxidoreductase (deaminating)_c0,,
rxn05297_c0,TRANS-RXNBWI-115637.ce.maizeexp.GLT_c0,,
rxn06937_c0_num1,L-glutamate:tRNA(Glu) ligase (AMP-forming)_c0,86.3828,5718.877595
rxn05734_c0,"aldehyde dehydrogenase (glyoxylate, NAD)_c0",3.6931,81.82738481
rxn05158_c0_num1,ATP phosphohydrolase (glycerol-3-phosphate-importing)_c0,121.6942,14211.23276
rxn00642_c0,"GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)_c0",,
rxn00917_c0_num1,Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)_c0,2.8506,90.90586115
rxn05508_c0,TRANS-RXNBWI-115637.ce.maizeexp.ASN_c0,,
rxn00611_c0,sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase_c0,3.9391,391.8947108
rxn00758_c0,sn-Glycero-3-phosphocholine glycerophosphohydrolase_c0,3.6774,485.8634267
rxn01073_c0,sn-Glycero-3-phosphoethanolamine glycerophosphohydrolase_c0,1.137,150.2220907
rxn08668_c0,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine)_c0,3.0676,405.2957654
rxn08669_c0,Glycerophosphodiester phosphodiesterase_c0,15.2237,2011.377345
rxn05740_c0,"1,4-alpha-glucan-branching enzyme_c0",116.0762,1685.256224
rxn01106_c0_num1,"2-Phospho-D-glycerate 2,3-phosphomutase_c0",,
rxn00205_c0,glutathione:hydrogen-peroxide oxidoreductase_c0,33.3617,2956.721234
rxn00300_c0,"GTP 7,8-8,9-dihydrolase (diphosphate-forming)_c0",,
rxn00915_c0_reverse,GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase_c0,125.7378,11600.07719
rxn00239_c0_num1,ATP:GMP phosphotransferase_c0,,
rxn05319_c0,TRANS-RXNBWI-115401.ce.maizeexp.OH_c0,,
rxn01451_c0,(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase_c0,104.1918,11891.25282
rxn03249_c0,(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase_c0,6.484,740.0091302
rxn02933_c0,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase_c0",0.4063,46.37040555
rxn00202_c0_reverse,"acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)_c0",26.9179,974.6768568
rxn05338_c0,(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0,5.4405,191.8274197
rxn02264_c0,Hydroxymethylbilane hydro-lyase(cyclizing)_c0,,
rxn05326_c0_reverse,"Hexanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)_c0",14.3632,1259.197456
rxn00547_c0,ATP:D-fructose 6-phosphotransferase_c0,55.6334,1438.305514
rxn05337_c0,(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0,3.1751,111.9513354
rxn01480_c0,3-Hydroxy-2-methylpropanoate:NAD+ oxidoreductase_c0,202.3208,23090.56743
rxn00789_c0_reverse_num1,1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase_c0,0.0361,2.943722882
rxn02160_c0,L-Histidinol-phosphate phosphohydrolase_c0,,
rxn02834_c0,Phosphoribosyl-ATP pyrophosphohydrolase_c0,2.819,208.4450761
rxn05299_c0,TRANS-RXNBWI-115637.ce.maizeexp.HIS_c0,,
rxn00060_c0,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)_c0,,
rxn05341_c0,(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0,2.819,99.39555117
rxn01301_c0,L-Homoserine:NAD+ oxidoreductase_c0,2.6586,106.866684
rxn01302_c0,L-homoserine:NADP+ oxidoreductase_c0,2.2919,92.12659033
rxn01300_c0,ATP:L-homoserine O-phosphotransferase_c0,17.3688,457.6363293
rxn01304_c0,Succinyl-CoA:L-homoserine O-succinyltransferase_c0,0.2004,10.18458973
rxn02320_c0_num1,5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase_c0,116.0762,3530.108238
rxn00836_c0_reverse,IMP:diphosphate phospho-D-ribosyltransferase_c0,62.9854,5810.786429
rxn01258_c0,chorismate hydroxymutase_c0,,
rxn03437_c0,"(R)-2,3-Dihydroxy-3-methylpentanoate hydro-lyase_c0",,
rxn01790_c0,(R)-Pantoate:NADP+ 2-oxidoreductase_c0,18.0564,970.4440426
rxn00834_c0,IMP:NAD+ oxidoreductase_c0,,
rxn00832_c0,"IMP 1,2-hydrolase (decyclizing)_c0",,
rxn03062_c0,3-Isopropylmalate:NAD+ oxidoreductase_c0,102.6546,4791.35072
rxn00514_c0,Inosine 5'-triphosphate pyrophosphohydrolase_c0,,
rxn08762_c0_num1,K(+)-importing ATPase_c0,,
rxn05595_c0,TRANS-RXN-3.ce_c0,,
rxn08793_c0,L-Lactate dehydrogenase (menaquinone)_c0,114.1708,1487.08395
rxn00816_c0,Lactose galactohydrolase_c0,70.1822,634.0762122
rxn01871_c0_reverse,acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase_c0,9.0905,61.97737612
rxn02789_c0_num1,2-Isopropylmalate hydro-lyase_c0,,
rxn00902_c0_reverse,"acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)_c0",102.6546,2332.328124
rxn05243_c0,TRANS-RXNBWI-115637.ce.maizeexp.LEU_c0,,
rxn08792_c0,lactate oxidation_c0,16.0913,209.5904904
rxn05602_c0_reverse,L-lactate reversible transport via proton symport_c0,,
rxn05305_c0,L-lysine transport out via proton antiport reversible_c0,,
rxn05170_c0_num1,TRANS-RXNAVI-26732.ce.brachyexp.CPD-3609_c0,1.0375,90.65912328
rxn08869_c0,maltohexaose transport via ABC system (periplasm)_c0,2.7138,237.1380518
rxn05607_c0,maltose transport via PEP:Pyr PTS_c0,13.0245,250.4993253
rxn05608_c0,ATP phosphohydrolase (disaccharide-importing)_c0,2.7138,237.1380518
rxn00559_c0,D-mannose-6-phosphate aldose-ketose-isomerase_c0,,
rxn05610_c0_num1,D-mannose transport via PEP:Pyr PTS_c0,3.7897,72.8870431
rxn05346_c0,butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0,,
rxn05344_c0,Tetradecanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0,551.0,45981.2194025595
rxn05465_c0_num1,Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase_c0,2.6274,149.4651107
rxn00161_c0,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)_c0,15.3083,659.7047375
rxn00910_c0,5-methyltetrahydrofolate:NADP+ oxidoreductase_c0,20.4762,580.1346855
rxn00952_c0,O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0,8.3156,195.4026646
rxn05219_c0_num1,nonpolar-amino-acid-transporting ATPase_c0,4.9927,235.4681503
rxn05183_c0,D-methionine transport via ABC system_c0,7.726,541.3251487
rxn00693_c0_num1,5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase_c0,8.6035,91.12244851
rxn08924_c0,Mg2+-importing ATPase_c0,,
rxn08127_c0,Amylomaltase (maltotetraose)_c0,8.9276,273.99759
rxn08128_c0,Amylomaltase (maltopentaose)_c0,2.7138,83.28942379
rxn05617_c0_num1,mannitol transport via PEP:Pyr PTS_c0,8.1063,155.9079182
rxn05618_c0,manganese transport in via proton symport_c0,,
rxn05619_c0,ATP phosphohydrolase (molybdate-importing)_c0,29.7721,1476.496466
rxn08126_c0,Amylomaltase (maltotriose)_c0,2.0635,63.33102144
rxn01211_c0,"5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)_c0",10.2221,611.1528261
rxn03052_c0,5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase_c0,27.8769,1163.050092
rxn05310_c0,Nicotinate transport (Plasma membrane)_c0,,
rxn08975_c0,dihydronicotinamide adenine dinucleotide-coenzyme Q reductase_c0,,
rxn01265_c0,Nicotinate D-ribonucleotide:diphosphate phosphoribosyltransferase_c0,3.7887,251.8043098
rxn05209_c0_num1,TRANS-RXNBWI-115525.ce.maizeexp.NA+_c0,,
rxn00237_c0,ATP:GDP phosphotransferase_c0,,
rxn00117_c0,ATP:UDP phosphotransferase_c0,,
rxn00409_c0,ATP:CDP phosphotransferase_c0,,
rxn01353_c0,ATP:dGDP phosphotransferase_c0,,
rxn01673_c0,ATP:dCDP phosphotransferase_c0,,
rxn00839_c0,ATP:dADP phosphotransferase_c0,,
rxn00515_c0,ATP:IDP phosphotransferase_c0,,
rxn00105_c0,ATP:nicotinamide-nucleotide adenylyltransferase_c0,0.1249,9.718038769
rxn01670_c0,Nicotinamide ribonucleotide phosphohydrolase_c0,4.3031,70.54610483
rxn00938_c0,Nicotinamide amidohydrolase_c0,0.1333,23.5224061
rxn02898_c0,"O-Succinylbenzoyl-CoA 1,4-dihydroxy-2-naphthoate-lyase_c0",,
rxn01961_c0_num1,Xanthosine 5'-phosphate phosphohydrolase_c0,,
rxn00831_c0_num1,Inosine 5'-monophosphate phosphohydrolase_c0,,
rxn00708_c0_num1,Uridine 5'-monophosphate phosphohydrolase_c0,,
rxn01218_c0_num1,2'-Deoxycytidine 5'-monophosphate phosphohydrolase_c0,,
rxn00363_c0_num1,Cytidine-5'-monophosphate phosphohydrolase_c0,,
rxn01145_c0_num1,Thymidylate 5'-phosphohydrolase_c0,,
rxn01507_c0_num1,2'-Deoxyadenosine 5'-monophosphate phosphohydrolase_c0,,
rxn01445_c0_num1,2'-Deoxyguanosine 5'-monophosphate phosphohydrolase_c0,,
rxn00913_c0_num1,Guanosine 5'-monophosphate phosphohydrolase_c0,,
rxn00241_c0,GTP phosphohydrolase_c0,,
rxn00569_c0_reverse_num1,Nitrite reductase (NAD(P)H)_c0,,
rxn05468_c0,TRANS-RXNAVI-26568.ce_c0,,
rxn01208_c0_reverse_num1,R01652_c0,0.4729,42.29183762
rxn00931_c0,L-Proline:NADP+ 5-oxidoreductase_c0,28.1983,3623.795429
rxn01791_c0,(R)-Pantoate:beta-alanine ligase (AMP-forming)_c0,92.129,5179.304645
rxn05239_c0,"adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase (3'-phosphoadenosine-5'-phosphosulfate -forming)_c0",85.5563,5390.830054
rxn00154_c0,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)_c0,999.0,277.0
rxn01343_c0,ATP:Sedoheptulose 7-phosphate 1-phosphotransferase_c0,14.2009,367.3648793
rxn00545_c0,ATP:D-fructose-6-phosphate 1-phosphotransferase_c0,999.0,103373.0297
rxn00157_c0_reverse,Acetyl-CoA:formate C-acetyltransferase_c0,0.6737,14.43198539
rxn00558_c0,D-glucose-6-phosphate aldose-ketose-isomerase_c0,,
rxn02380_c0,beta-D-Glucose 6-phosphate ketol-isomerase_c0,,
rxn01100_c0,ATP:3-phospho-D-glycerate 1-phosphotransferase_c0,17.3688,1484.523253
rxn01476_c0,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase_c0",0.2004,19.12519522
rxn09106_c0,"phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)_c0",,
rxn01000_c0_num1,prephenate hydro-lyase (decarboxylating; phenylpyruvate-forming)_c0,11.9934,255.2090438
rxn05306_c0,TRANS-RXNBWI-115637.ce.maizeexp.PHE_c0,,
rxn00493_c0_num1,L-Phenylalanine:2-oxoglutarate aminotransferase_c0,2.8895,87.87544521
rxn05312_c0_reverse,Inorganic phosphate transporter_c0,,
rxn05145_c0_num1,phosphate-transporting ATPase_c0,,
rxn01799_c0,deoxyuridine:orthophosphate 2-deoxy-D-ribosyltransferase_c0,10.9999,685.0768109
